task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T1_frozen_vs_reference,action|gbm,TW:Iran,RD:IRA|unmatched,0.5109,0.4601,0.5662,96,643
T1_frozen_vs_reference,action|gbm,TW:Venezuela,TW:IRA,0.9288,0.9158,0.9429,875,523
T1_frozen_vs_reference,action|gbm,TW:Venezuela,TW:Iran,0.7257,0.6747,0.7744,148,523
T1_frozen_vs_reference,action|gbm,TW:Venezuela,TW:Venezuela,0.7847,0.7448,0.8255,223,523
T1_frozen_vs_reference,action|gbm,TW:Venezuela,TW:China,0.6211,0.5948,0.6511,1030,523
T1_frozen_vs_reference,action|gbm,TW:Venezuela,TW:GRU,0.9167,0.8541,0.9606,30,523
T1_frozen_vs_reference,action|gbm,TW:Venezuela,RD:IRA|matched,0.5694,0.4961,0.6383,96,168
T1_frozen_vs_reference,action|gbm,TW:Venezuela,RD:IRA|unmatched,0.5248,0.4647,0.5789,96,643
T1_frozen_vs_reference,action|gbm,TW:China,TW:IRA,0.8529,0.8348,0.8711,875,523
T1_frozen_vs_reference,action|gbm,TW:China,TW:Iran,0.7012,0.6422,0.7516,148,523
T1_frozen_vs_reference,action|gbm,TW:China,TW:Venezuela,0.7103,0.666,0.7566,223,523
T1_frozen_vs_reference,action|gbm,TW:China,TW:China,0.8028,0.7836,0.8237,1030,523
T1_frozen_vs_reference,action|gbm,TW:China,TW:GRU,0.9245,0.8612,0.9754,30,523
T1_frozen_vs_reference,action|gbm,TW:China,RD:IRA|matched,0.7916,0.73,0.85,96,168
T1_frozen_vs_reference,action|gbm,TW:China,RD:IRA|unmatched,0.8277,0.7671,0.8803,96,643
T1_frozen_vs_reference,policy|llr,TW:IRA,TW:IRA,0.9976,0.9956,0.9991,875,523
T1_frozen_vs_reference,policy|llr,TW:IRA,TW:Iran,0.9701,0.9516,0.9835,148,523
T1_frozen_vs_reference,policy|llr,TW:IRA,TW:Venezuela,0.9925,0.9862,0.9974,223,523
T1_frozen_vs_reference,policy|llr,TW:IRA,TW:China,0.9987,0.9971,0.9998,1030,523
T1_frozen_vs_reference,policy|llr,TW:IRA,TW:GRU,0.9957,0.9907,0.9987,30,523
T1_frozen_vs_reference,policy|llr,TW:IRA,RD:IRA|matched,0.6306,0.5603,0.7051,96,168
T1_frozen_vs_reference,policy|llr,TW:IRA,RD:IRA|unmatched,0.4776,0.4033,0.5448,96,643
T1_frozen_vs_reference,policy|llr,TW:Iran,TW:IRA,0.9874,0.9834,0.991,875,523
T1_frozen_vs_reference,policy|llr,TW:Iran,TW:Iran,0.9784,0.9621,0.9906,148,523
T1_frozen_vs_reference,policy|llr,TW:Iran,TW:Venezuela,0.9841,0.9712,0.9947,223,523
T1_frozen_vs_reference,policy|llr,TW:Iran,TW:China,0.9962,0.9932,0.9985,1030,523
T1_frozen_vs_reference,policy|llr,TW:Iran,TW:GRU,0.9612,0.9108,0.9943,30,523
T1_frozen_vs_reference,policy|llr,TW:Iran,RD:IRA|matched,0.8524,0.8071,0.8973,96,168
T1_frozen_vs_reference,policy|llr,TW:Iran,RD:IRA|unmatched,0.7515,0.7056,0.7949,96,643
T1_frozen_vs_reference,policy|llr,TW:Venezuela,TW:IRA,0.9975,0.9958,0.999,875,523
T1_frozen_vs_reference,policy|llr,TW:Venezuela,TW:Iran,0.983,0.9733,0.9901,148,523
T1_frozen_vs_reference,policy|llr,TW:Venezuela,TW:Venezuela,0.993,0.9834,0.9994,223,523
T1_frozen_vs_reference,policy|llr,TW:Venezuela,TW:China,0.9993,0.9984,0.9999,1030,523
T1_frozen_vs_reference,policy|llr,TW:Venezuela,TW:GRU,0.9902,0.9741,0.999,30,523
T1_frozen_vs_reference,policy|llr,TW:Venezuela,RD:IRA|matched,0.6953,0.6283,0.7671,96,168
T1_frozen_vs_reference,policy|llr,TW:Venezuela,RD:IRA|unmatched,0.5433,0.4783,0.6116,96,643
T1_frozen_vs_reference,policy|llr,TW:China,TW:IRA,0.9969,0.9945,0.9986,875,523
T1_frozen_vs_reference,policy|llr,TW:China,TW:Iran,0.9797,0.9669,0.9903,148,523
T1_frozen_vs_reference,policy|llr,TW:China,TW:Venezuela,0.9945,0.9889,0.9987,223,523
T1_frozen_vs_reference,policy|llr,TW:China,TW:China,0.9994,0.9984,1.0,1030,523
T1_frozen_vs_reference,policy|llr,TW:China,TW:GRU,0.9968,0.9924,0.9994,30,523
T1_frozen_vs_reference,policy|llr,TW:China,RD:IRA|matched,0.6391,0.5606,0.7124,96,168
T1_frozen_vs_reference,policy|llr,TW:China,RD:IRA|unmatched,0.4819,0.4139,0.549,96,643
T2_frozen_specificity,phase|lr,TW:IRA,TW:Iran,0.517,0.4564,0.5725,875,148
T2_frozen_specificity,phase|lr,TW:IRA,TW:Venezuela,0.8586,0.8343,0.8845,875,223
T2_frozen_specificity,phase|lr,TW:IRA,TW:China,0.6645,0.6403,0.6891,875,1030
T2_frozen_specificity,phase|lr,TW:IRA,TW:GRU,0.3182,0.1846,0.4508,875,30
T2_frozen_specificity,phase|lr,TW:Iran,TW:IRA,0.8197,0.7829,0.8553,148,875
T2_frozen_specificity,phase|lr,TW:Iran,TW:Venezuela,0.9416,0.9117,0.964,148,223
T2_frozen_specificity,phase|lr,TW:Iran,TW:China,0.8748,0.8518,0.8961,148,1030
T2_frozen_specificity,phase|lr,TW:Iran,TW:GRU,0.5243,0.399,0.6524,148,30
T2_frozen_specificity,phase|lr,TW:Venezuela,TW:IRA,0.8029,0.7729,0.8335,223,875
T2_frozen_specificity,phase|lr,TW:Venezuela,TW:Iran,0.8815,0.8455,0.9164,223,148
T2_frozen_specificity,phase|lr,TW:Venezuela,TW:China,0.9222,0.9073,0.937,223,1030
T2_frozen_specificity,phase|lr,TW:Venezuela,TW:GRU,0.9747,0.9549,0.9898,223,30
T2_frozen_specificity,phase|lr,TW:China,TW:IRA,0.9091,0.8943,0.9229,1030,875
T2_frozen_specificity,phase|lr,TW:China,TW:Iran,0.8325,0.8065,0.8595,1030,148
T2_frozen_specificity,phase|lr,TW:China,TW:Venezuela,0.9672,0.9585,0.9746,1030,223
T2_frozen_specificity,phase|lr,TW:China,TW:GRU,0.7572,0.6891,0.8069,1030,30
T2_frozen_specificity,phase|gbm,TW:IRA,TW:Iran,0.8463,0.806,0.8862,875,148
T2_frozen_specificity,phase|gbm,TW:IRA,TW:Venezuela,0.9075,0.8862,0.9297,875,223
T2_frozen_specificity,phase|gbm,TW:IRA,TW:China,0.8946,0.8801,0.9072,875,1030
T2_frozen_specificity,phase|gbm,TW:IRA,TW:GRU,0.8056,0.729,0.8785,875,30
